id,name,company,published_at,url,salary_from,salary_to,salary_currency,experience,employment,schedule,city,description,key_skills,address,gender_requirement,education_requirement
128165230,Project Manager,Мама знает,2025-12-25T12:32:08+0300,https://hh.ru/vacancy/128165230,,,,От 1 года до 3 лет,Полная занятость,Полный день,Almaty,"Обязанности: Анализировать пользовательские данные и поведение клиентов; Выявлять инсайты и точки роста для увеличения продаж; Разрабатывать и запускать промо-активности, акции и кампании; Координировать проекты между командами (маркетинг, IT, логистика, контент); Отслеживать результаты кампаний и готовить аналитические отчеты; Внедрять гипотезы и оптимизировать воронку продаж. Требования: Опыт работы в e-commerce, маркетинге или аналитике данных от 1 года; Уверенные навыки Excel / Google Sheets, знание BI-инструментов будет плюсом; Понимание воронки продаж, пользовательских метрик, A/B-тестов; Умение мыслить гипотезами и быстро проверять их на практике; Навыки проектного менеджмента и коммуникации с разными командами. Условия: Возможность влиять на рост быстроразвивающегося e-commerce проекта; Работу в команде, где ценят инициативу и скорость; Дружественную атмосферу и гибкий график; Перспективу профессионального роста.","Аналитическое мышление, Деловая коммуникация, Анализ продаж, E-Commerce, Ориентация на результат, Коммуникабельность","Алматы, проспект Аль-Фараби, 77/8",any,no_requirement
122777387,IT Service Desk Team Lead,Deloitte DKU,2025-12-25T12:26:30+0300,https://hh.ru/vacancy/122777387,,,,От 3 до 6 лет,Полная занятость,Полный день,Almaty,"Responsibilities: Organize and supervise the work of the Service Desk team (Level 1 and/or Level 2 support). Assign tasks and monitor SLA compliance and incident priorities. Escalate and resolve complex technical issues. Ensure high-quality service delivery and monitor user satisfaction. Work with ticketing systems ServiceNow. Monitor ticket resolution, analyze recurring issues, and propose improvements. Provide mentorship, coaching, and training for team members. Evaluate team performance and support professional development. Cross-Team Communication: Coordinate with system administrators, developers, security teams, and other departments. Escalate problems to the appropriate support levels as needed. Documentation & Standards: Maintain and update knowledge base articles, user guides. Prepare regular KPI and SLA reports. Drive initiatives to improve support quality and operational efficiency. Participate in IT service implementation projects. Administer user accounts (e.g., Active Directory, Microsoft 365). Assist in audits and compliance with information security standards Professional Requirements: 1. Education: • Higher education in a technical field (e.g., IT, computer science, engineering). 2. Work Experience: • At least 3 years of experience in a service desk or a similar role. • Proven experience in managing a technical support team. • Experience with ticketing systems (e.g., Jira, ServiceNow). 3. Knowledge and Skills: • Strong understanding of ITIL or similar IT service management frameworks. • Knowledge of incident, problem, and change management processes. • Technical proficiency (operating systems configuration, network connections, software). • Ability to work with metrics and reporting (SLAs, KPIs). 4. Languages: • English, Russian Personal Qualities: 1. Leadership Skills: • Ability to inspire and organize a team. • Skills in task delegation and time management. 2. Communication Skills: • Excellent interpersonal skills and the ability to communicate effectively with users, the team, and management. • Conflict resolution abilities. 3. Organizational Skills: • Ability to prioritize tasks effectively and work in a multitasking environment. 4. Stress Resistance: • Capability to respond quickly to critical situations and make decisions under pressure. Additional Preferences: 1. Certifications (ITIL, Microsoft, Cisco, CompTIA, or others relevant to the role). 2. Experience in implementing and optimizing service desk processes. 3. Knowledge of scripting or process automation is a plus.",,"Алматы, проспект Аль-Фараби, 36",any,no_requirement
127557349,E-commerce Trade Marketing Manager,Magnum E-commerce Kazakhstan,2025-12-25T12:19:24+0300,https://hh.ru/vacancy/127557349,,,,От 1 года до 3 лет,Полная занятость,Полный день,Almaty,"Обязанности: Управлять маркетинг запусками и помогать коммерческой команде наращивать эффективность в использовании инструментов; Проводить ABC/XYZ анализ по SKU и точкам продаж; Координировать работу графического дизайнера; Запускать технические программы: пуш-уведомления/семплинги; Участвовать в аналитике эффективности запущенных активностей и предлагать улучшения. Требования: Опыт работы трейд маркетологом 1-3 года (e-commerce, FMCG); Уверенное знание Excel обязательно; Умение рассчитывать эффективность активностей: ROI/ROMI, оценка прибыльности промо и управление маркетинговым бюджетом; Понимание инструментов онлайн-рекламы: баннерные размещения, CPC/CPA, ретаргетинг; Навыки e-merchandising: оптимизация карточек товара, SEO на маркетплейсах; Основы CRM-маркетинга: рассылки, пуш-уведомления, купонные механики; Отличные навыки коммуникаций; Аналитические навыки; Готовность работать в динамичной среде и быстро переключаться между задачами. Условия: Рост и развитие в одной из самых быстрорастущих E-Commerce компаний; Амбициозные и интересные задачи; Современный, комфортный офис; Энергичная, заряженная команда; Скидки на продукцию компании; Спортивные активности и корпоративные мероприятия каждый квартал.","CPA, Написание SEO-текстов, A/B тесты, Интернет-реклама, Digital Marketing, Планирование маркетинговых кампаний, Таргетинг, E-Commerce, MS Excel","Алматы, улица Толе Би, 285",any,no_requirement
126869103,Category Strategy Manager,Марс,2025-12-25T11:59:43+0300,https://hh.ru/vacancy/126869103,,,,Более 6 лет,Полная занятость,Полный день,Almaty,"As part of the Central Eurasia Category Team, you will drive Category First mindset in our cluster, co-pilot our regional portfolio team on long term portfolio choices, in line with category & shopper trends and provide strategic guidance for category development from a channel & brand tech view across all CEA markets for our sales & market category managers. What are we looking for? 1. Education & Professional Qualification: Degree in Economics/ Marketing/ Finance; English at advanced level; Expert user of MS Office; Continuous data/research experience (i.e. Nielsen, GFK, Spaceman) 2. Knowledge/Experience 4+ years relevant experience in Sales, Data Analytics, Insights, Research in FMCG or at Research Agency Category Management experience preferred Analytical skills and demonstrated ability to create a narrative from analysis/insights What will be your key responsibilities? Deployment & localization & roll out of Snacking category vision and strategies Lead the category & channel headspace for growth analysis, incorporating audited and non audited data Provide clear channel insights & requirements to Demand ( Portfolio, Activation & Strategic Revenue Management) & Sales teams Design the shelf of the future by segment in partnership with Perfect Store team Coaching & guidance for Market Category Managers (i.e. global/regional best practice) Key member of strategic business signature processes What can you expect from Mars? Work with diverse and talented Associates, all guided by the Five Principles. Join a purpose driven company, where we’re striving to build the world we want tomorrow, today. Best-in-class learning and development support from day one, including access to our in-house Mars University. An industry competitive salary and benefits package, including company bonus.","Project management, Presentation skills, Marketing Analysis, Market Research, Strategic Marketing","Алматы, улица Кунаева, 77",any,no_requirement
128616856,Sales Executive (Novotel living & Ibis Almaty Zhetisu),«Гостиница «Жетысу» (Novotel living and Ibis Almaty Zhetisu),2025-12-25T11:50:40+0300,https://hh.ru/vacancy/128616856,,,,От 3 до 6 лет,Полная занятость,Полный день,Almaty,"Responsibilities: To ensure that hotel works with clients in various market segments, or geographic regions. To maximize the profit from the accommodation of individuals, groups, banquets and other events. Processing requests for an event or group accommodation by email and phone promptly and professionally, in accordance with company standards, ensuring accuracy and attention to details Preparation of commercial offers and costs estimates by determining client needs Concluding contracts on the provision of hotel services, making orders and the Appendix according to the client's request Control invoices and payments from the client Timely and accurate communication of information on client's requirements to all internal departments as needed to ensure that client's expectations are met Conducting meetings with the client and hotel staff to ensure that each event / group stay meets the client's expectations Preparing presentations for potential clients Interaction with the client on the quality of the services provided, prompt response to the wishes and needs of the Client Tracking new contacts and rates to be added to the sysyem Prepare weekly, monthly, quarterly and annual reports as required Requirements: Degree in hospitality Relevant experience not less than 3 years fluent English is a MUST, Kazakh language would be a+ ability to deal with big data volumes analytical skills Knowledge of Opera Условия: График работы 5/2 ; Официальное трудоустройство в соответствии с ТК РК; Достойная заработная плата; Возможности для профессионального и карьерного роста; Работа в молодом и энергичном коллективе под управлением международной компании Скидки на услуги отелей сети Accor;","MS PowerPoint, Opera, Interpersonal skills, Работа в условиях многозадачности, Analysis, Работа с большим пулом запросов, Умение легко находить контакт с людьми","Алматы, проспект Абылай Хана, 55",any,no_requirement
128909808,Full Stack Developer (.NET+Angular),Andersen,2025-12-25T11:50:12+0300,https://hh.ru/vacancy/128909808,,,,От 3 до 6 лет,Полная занятость,Удаленная работа,Almaty,"Andersen is seeking a Full Stack Developer (.NET+Angular) to enhance and support a large travel-sector web platform, improving functionality, performance, and overall user experience. The customer is a technology-driven company in the travel sector, providing a comprehensive booking and procurement platform for industry professionals. Its solutions support large transaction volumes, integrate with a wide network of partners, and offer tools that streamline operations and enhance productivity. Focused on innovation and scalability, the customer continues to expand its ecosystem, strengthen partnerships, and improve data accuracy to deliver a modern digital infrastructure for the travel value chain. The project is focused on enhancing and supporting an existing web platform in the travel services domain. The team works on improving functionality, performance, and overall user experience while ensuring the platform remains reliable and competitive. The position assumes 12 to 21 CET work schedule. Technology stack: ASP.NET Core/.NET 6+, Angular 12+, Microservices, Clean Architecture, Entity Framework Core, REST APIs, CI/CD, Relational Databases. Responsibilities: Developing and maintaining full-stack web applications using ASP.NET Core (.NET 6+) and Angular. Designing and implementing RESTful APIs. Contributing to architectural decisions (Clean Architecture, CQRS, DDD). Working with Entity Framework Core, optimizing LINQ queries and performance. Building and maintaining Angular components, modules, and services. Integrating front-end applications with back-end APIs. Implementing routing, guards, interceptors, and authentication mechanisms. Writing and maintaining unit tests (xUnit / NUnit, Moq). Refactoring and improving legacy codebases. Participating in code reviews and technical discussions. Configuring and maintaining CI/CD pipelines (Azure DevOps, YAML). Supporting deployments across dev, staging, and production environments. Must-haves: Commercial experience with ASP.NET Core/.NET 6+ for 3+ years. Strong experience with Angular (v12+). Hands-on experience with Microservices. Solid understanding of Clean Architecture and separation of concerns. Hands-on experience with Entity Framework Core. Experience designing and consuming REST APIs. Experience writing unit tests and using mocking frameworks. Familiarity with CI/CD pipelines and DevOps practices. Experience with relational databases. Ability to work with legacy code and unfamiliar codebases. Level of English – from Upper-Intermediate and above. Nice-to-haves: Experience with Insurance. Reasons why this job would be interesting to you: Experience in teamwork with leaders in FinTech, Healthcare, Retail, Telecom, and others. Andersen cooperates with such businesses as Samsung, Siemens, Johnson & Johnson, BNP Paribas, Ryanair, Mercedes, TUI, Verivox, Allianz, T-Systems, etc.. The opportunity to change the project and/or develop expertise in an interesting business domain. Job conditions – you can work both fully remotely and from the office or can choose a hybrid variant. Guarantee of professional, financial, and career growth! The company has introduced systems of mentoring and adaptation for each new employee. The opportunity to earn up to an additional 1,000 USD per month, depending on the level of expertise, which will be included in the annual bonus, by participating in the company's activities. Access to the corporate training portal, where the entire knowledge base of the company is collected and which is constantly updated. Bright corporate life (parties / pizza days / PlayStation / fruits / coffee / snacks / movies); Certification compensation (AWS, PMP, etc). Referral program. English courses. Private health insurance and compensation for sports activities. Join us!","ASP.NET, AngularJS","Алматы, проспект Юрия Гагарина, 124",any,no_requirement
128162840,Customer Service Representative with English language,AP Companies,2025-12-25T11:48:47+0300,https://hh.ru/vacancy/128162840,,,,Нет опыта,Полная занятость,Удаленная работа,Almaty,"AP Companies is the biggest independent medical assistance company with a vast medical provider network around the world. Our offices are located in the US, UK, Spain, Cyprus, Latvia, Kazakhstan, Bangladesh, and Thailand. We are chosen by more than 50 well-known Insurance Companies and Employers around the globe. While we are committed to long-term development and sustainability, we are also developing, advancing, amplifying, and attempting to revolutionize our industry for the benefit of our Clients. We are expanding and growing, so we are looking for a new English-speaking candidate to join our team and work in shifts schedule, which will include night shifts . Key responsibilities are: Timely receive, register, process and report on the organization of medical treatment world-wide; Work with internal database and keep all the cases up-to-date; Maintain solid and effective communication with the medical providers, insured members and clients by email or phone. Work closely with the team to define the areas of attention and take necessary actions to ensure a good client experience. Collaborate with other teams to address clients´ queries and establish an efficient workflow and communication. You are the best candidate if : you have perfect communicational skills and a passion for work; you have proficiency in English, this is a must, any other additional language is a significant advantage; you are an experienced PC user; you can work remotely (you will need a laptop or a computer and a strong and stable Internet connection) and also have enough self-discipline to work without every minute control; you can work both independently and as a part of a team, follow directions and take up feedback on work effectiveness; We are ready to offer: Competitive salary; Remote full-time position; Shifts schedule with night shifts ; No routine and mundane tasks; Opportunity to work with a professional international team on medical issues in a dynamic work environment;","Английский язык, Fluent English, Business communication",,any,no_requirement
128162552,Sales Force Effectiveness Manager,Hаleon Kazakhstan,2025-12-25T11:43:00+0300,https://hh.ru/vacancy/128162552,,,,От 3 до 6 лет,Полная занятость,Полный день,Almaty,"Welcome to Haleon. We’re a purpose-driven, world-class consumer company putting everyday health in the hands of millions. In just three years since our launch, we’ve grown, evolved and are now entering an exciting new chapter – one filled with bold ambitions and enormous opportunity. Our trusted portfolio of brands – including Sensodyne®, Panadol®, Advil®, Voltaren®, Theraflu®, Otrivin®, and Centrum® – lead in resilient and growing categories. What sets us apart is our unique blend of deep human understanding and trusted science. Now it’s time to fully realise the full potential of our business and our people. We do this through our Win as One strategy. It puts our purpose – to deliver better everyday health with humanity – at the heart of everything we do. It unites us, inspires us, and challenges us to be better every day, driven by our agile, performance-focused culture. This position is designed to drive sales force productivity and strengthen our company’s position and ROI at the point of sale through instore execution excellence. The SFE Manager will co-develop winning strategies (Segmentation & Targeting), implement efficient tools (CRM systems), and define the right KPIs (Perfect Store) to ensure success in-store. This role is a key member of the Cluster NRM & GTM team. Please submit your CV and application in English Key Responsibilities: SFE Strategy & Action Planning Lead the SFE planning process for the cluster, contributing directly to annual business plans (ABP). Represent the cluster in quarterly SFE performance reviews with the business unit. Own the cluster visit planning process and KPI tracking. Segmentation & Targeting Co-lead the development of efficient segmentation and targeting strategies, focusing on the right customers, resources, and timing. Lead analytics to ensure effective S&T plans. Collaborate closely with NRM & GTM Lead and CEE In-store Excellence & Shopper Marketing Manager to align on country activation plans. CRM System Management Own CRM system functionality across countries. Ensure rapid adoption of new CRM functionalities (automated routing, remote detailing, image recognition, AR in CLM). Drive automation and simplification for sales reps during visits. Extract actionable insights from CRM data to boost sales force performance. Reporting & Analytics Lead the development of reporting platforms for sales teams using internal and external data (IQVIA, Nielsen, etc.). Improve country-level reporting by managing databases, creating reports, and automating SFE processes. Champion Power BI reporting and capability development across the organization. Analysis & Decision Support Act as the single point of contact for consumer and category data. Manage major ad-hoc analyses for commercial and marketing teams. Build commercial capability in using analysis and reports for fact-based decision-making. Ensure data standards and create tools/templates to support collaboration across commercial functions. Sales Incentive System Co-lead the target-setting process for the sales team. Develop and assess the structure of the sales incentive plan and bonus system. Monitor and track sales achievements versus targets. Business Partnering Collaborate with CEE In-store Excellence & Shopper Marketing Manager on key priorities and projects. Cooperate with Sales, NRM, Customer Marketing, and Marketing teams to provide technical and strategic support. Offer training for sales and marketing teams on internal systems and tools. Lead the implementation and continuous improvement of the Perfect Store project. Requirements: University degree in economics, business administration, sciences, or engineering. Fluent in English; knowledge of other Export HUB languages is an advantage. Experience in developing SFE strategies, CRM databases, in-store execution, and analytics. Background in sales, marketing, analytics, or related fields. Strong experience in leading strategic processes and ensuring execution aligns with strategy. Proven change management skills. Excellent analytical skills with the ability to turn insights into action. Strong problem-solving orientation. Ability to influence at all levels and work effectively in a matrix environment, managing key strategic partners (GMs, Channel Heads, NRM & GTM Lead, BU Team). Opportunities for growth None of us should ever feel like we are standing still. Instead, we want Haleon to be a place where we feel like we are always progressing. Improving everyday health takes dedication. Energy. Effort. So we look to reward your contribution with the benefits package that includes: Career at one of the leading global healthcare companies. Attractive reward package. Extensive support of work-life balance (flexible working solutions including working from home possibilities, health & wellbeing activities). Comprehensive Health Insurance. Life Insurance. Meal Allowance. Open and inclusive environment that is supportive and welcoming of all diversity strands (gender, race, ethnicity, sexuality, disability, or any other characteristic). Equal Opportunities Haleon are committed to mobilising our purpose in a way that represents the diverse consumers and communities who rely on our brands every day. It guides us in creating an inclusive culture, where different backgrounds and views are valued and respected – all in support of understanding and best serving the needs of our consumers and unleashing the full potential of our people. It’s important to us that Haleon is a place where all our employees feel they truly belong. During the application process, we may ask you to share some personal information, which is entirely voluntary. This information ensures we meet certain regulatory and reporting obligations and supports the development, refinement, and execution of our inclusion and belonging programmes that are open to all Haleon employees. The personal information you provide will be kept confidential, used only for legitimate business purposes, and will never be used in making any employment decisions, including hiring decisions.",,,any,no_requirement
129032071,Преподаватель английского языка и IELTS,Start English School,2025-12-25T11:25:47+0300,https://hh.ru/vacancy/129032071,200000.0,400000.0,KZT,От 1 года до 3 лет,Частичная занятость,Удаленная работа,Almaty,"Requirements: Bachelor’s degree in English and education. Minimum of 1 years experience in a teaching role. The ability to compile lesson plans efficiently. The ability to execute lessons with meaning, in a fun, and engaging manner. Computer Skills. Outstanding communication skills Planning and organizational skills Creative and innovative Adaptability Collaborative skills Able to handle stress Сonditions: Flexible schedule Dynamic and innovative teaching environment Opportunities for professional growth and development Supportive team culture that fosters collaboration and creativity Competitive compensation package Possibility of registration under GPC(ГПХ) (services, contracting, individual entrepreneurs, self-employed) or part-time WAITING FOR YOUR CV! «BOSTON» - образовательный центр. Мы обучаем Английскому по нашим авторским презентациям и фокусируемся на разговорном Английском. В нашей школе готовятся к экзаменам IELTS и SAT, к тестам по магистратуре, изучают английский для бизнеса, переезда и для работы в иностранных компаниях. Обучаем с нуля как взрослых, так и подростков от 12 лет. Курсы от начинающего до продвинутого уровня. Для практики разговорного английского и понимания языка на слух, у нас в центре проходят разговорные клубы с иностранцем и носителем языка. Мы так же занимаемся консультацией и полным курированием при поступлении в зарубежные ВУЗы (преимущественно США, Великобритания, Канада). Помимо этого у нас есть летние каникулы за границей, что позволяет нашим студентам погрузиться в языковую среду. Цель нашей компании Научить ГОВОРИТЬ на английском и влюбить в сам процесс освоения языка. Так как сам по себе путь может быть не менее прекраснее результата! Стать лидерами рынка и быть в каждом городе Казахстана, предоставляя качественное обучение. Мы верим что, только с сильной командой мы можем достичь целей. Поэтому ждем Вас в нашей компании!","Английский язык, MS PowerPoint, Письменный перевод, Обучение и развитие, Проведение презентаций","Алматы, проспект Абая, 165/2",any,master
128943133,Администратор,A-Medical Systems,2025-12-25T11:13:57+0300,https://hh.ru/vacancy/128943133,250000.0,350000.0,KZT,От 1 года до 3 лет,Полная занятость,Полный день,Almaty,"В нашу команду (Международная медицинская лаборатория HELIX) требуется сильный и опытный АДМИНИСТРАТОР. Обязанности: Ресепшен Консультация, прием и оформление клиентов Работа с кассой, оргтехникой Отчетность Требования: Медицинское образование Знание анализов Грамотная речь Пунктуальность Знание компьютерных программ Условия: График работы с 07:00 до 15:00, суббота 07:00 до 12:00 Стабильная заработная плата","Пользователь ПК, Грамотная речь, Работа с оргтехникой, Грамотность, оформление документации, Работа с ПК, Работать в команде",,any,no_requirement
